number,value,params_dino_pipeline_clustering_clusterer_method,params_dino_pipeline_clustering_feature_processing_normalizer_method,params_dino_pipeline_clustering_k_selection_method,params_extractors_dino_v2_layer_name,params_extractors_resnet_layer_name,params_heuristic_settings_filter_params_filter_min_area_perc,params_heuristic_settings_generator_params_points_per_side,params_heuristic_settings_generator_params_pred_iou_thresh,params_heuristic_settings_generator_params_stability_score_thresh,params_heuristic_settings_k_heuristic_formulas_semantic_scale_factor,params_heuristic_settings_k_heuristic_formulas_structural_multiplier,params_resnet_pipeline_clustering_clusterer_method,params_resnet_pipeline_clustering_feature_processing_normalizer_method,params_resnet_pipeline_clustering_k_selection_method,params_resnet_pipeline_image_preprocessing_use_gaussian_blur,params_run_dino_pipeline,params_run_resnet_pipeline,params_validator_settings_semantic_threshold,params_validator_settings_structural_threshold,params_validator_settings_weights_clip_confidence,params_validator_settings_weights_dino_iou,params_validator_settings_weights_resnet_iou,state,user_attrs_avg_clip_confidence,user_attrs_avg_entropy_labels,user_attrs_consistency_reward,user_attrs_iou_ratio_dino_resnet,user_attrs_iou_variance,user_attrs_k_semantic_used,user_attrs_k_structural_used,user_attrs_mean_iou,user_attrs_num_correct_segments,user_attrs_num_sam_masks,user_attrs_num_segments,user_attrs_semantic_score,user_attrs_semantic_structural_alignment,user_attrs_value
66,0.15,graph,l2,silhouette,blocks.11,layer4,0.005031513708429938,32,0.9244718224401243,0.9428401387629406,0.7434724393251307,4.771097209245763,graph,root-norm,silhouette,False,True,True,0.23836035618403745,0.7702805630127243,0.0008942004888280969,0.7104763342462133,0.15878281770338504,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
67,0.15,kmeans,root-norm,silhouette,blocks.11,layer2,0.0029680375817180693,16,0.83186992534418,0.8511179452905109,0.933133383902306,2.953188031814008,kmeans,l2,heuristic,True,False,True,0.29279082468581336,0.7079498711331762,0.03702902606658663,0.41641743179212687,0.9701179153900317,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
68,0.15,graph,l2,heuristic,blocks.7,layer3,0.0039166710815404645,32,0.8773408292534788,0.965812111976458,0.4504520347326254,2.2043641622853882,graph,root-norm,silhouette,False,True,False,0.6446260045228865,0.8484428185079715,0.3231686924269409,0.8392342162384026,0.41336198580334277,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
69,0.15,kmeans,root-norm,silhouette,blocks.11,layer2,0.005679090517739252,16,0.8836559971333365,0.9762158367737953,1.0962072266427705,2.5370151906375478,graph,l2,heuristic,True,False,True,0.6823553369477382,0.2175637678152016,0.2511029053874643,0.7799612653487357,0.8839865849245747,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
70,0.15,graph,l2,heuristic,blocks.11,layer2,0.006265177358849558,16,0.809903559581971,0.9568811738029274,1.1847655769781054,1.523077180227374,graph,root-norm,silhouette,False,True,True,0.5573056927280442,0.6739094437352273,0.5133387015253489,0.00034765067455877485,0.8077187077876065,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
71,0.15,kmeans,l2,silhouette,blocks.11,layer4,0.001801174902713122,32,0.82730259569534,0.9317862196387935,1.8989478403629851,4.332781398555694,graph,root-norm,heuristic,True,False,True,0.3243672052846437,0.5561516135379276,0.6033039019755262,0.3874123055870943,0.007217855359545607,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
72,0.15,kmeans,l2,silhouette,blocks.11,layer4,0.014043461013804284,32,0.8239990601839704,0.9235350759455064,1.9657140490690947,1.8701999520295565,graph,root-norm,heuristic,True,False,True,0.28796370860042486,0.6359823156285087,0.7370988428341166,0.4583516479841948,0.06695394006895095,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
73,0.15,kmeans,l2,silhouette,blocks.11,layer4,0.0066342074452889945,32,0.819339953098193,0.9380936089472381,1.3769638269643336,4.006342610684279,graph,root-norm,heuristic,True,False,True,0.2400442941832464,0.6793301090728315,0.9989836106899441,0.35249289427261166,0.13614792907405346,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
74,0.15,kmeans,l2,silhouette,blocks.11,layer4,0.010972580742640767,32,0.8398929719188285,0.945588681849588,1.912510468850947,1.62150129192916,graph,root-norm,heuristic,True,False,True,0.3719024015807429,0.7282274390802831,0.8049849919313519,0.5245345406613201,0.9314463844163884,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
75,0.15,kmeans,l2,silhouette,blocks.11,layer1,0.007937410261272721,32,0.9167396844428449,0.9302803948188576,1.8414260402552478,2.013167701193206,graph,root-norm,heuristic,True,False,True,0.5294541827442287,0.25759616403740904,0.4267805738297893,0.28861869241268256,0.013568656001062033,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
76,0.15,graph,root-norm,silhouette,blocks.7,layer3,0.004014851184786172,16,0.8081664519114767,0.956168206083121,1.5307002204306872,1.3288374622984218,kmeans,l2,silhouette,False,True,True,0.4110387196802613,0.6004288729753192,0.6906960186338744,0.48348840470318943,0.12333753119047718,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
77,0.15,kmeans,l2,silhouette,blocks.11,layer2,0.0027102941515307877,16,0.8171981724008625,0.918241908126806,0.8354374129136497,1.8368263947592105,graph,root-norm,heuristic,True,False,False,0.34331000356115443,0.2777796817999501,0.14891269307542013,0.7258695890281521,0.20832547190731224,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
78,0.15,graph,root-norm,heuristic,blocks.11,layer4,0.0014968736100124396,32,0.9516787805465842,0.9487284511525563,1.230832550478503,2.6554181276032116,graph,l2,silhouette,False,True,True,0.20817366123576533,0.41889191538426174,0.11462659850109846,0.41100370277307163,0.07605096840222225,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
79,0.15,kmeans,l2,silhouette,blocks.7,layer2,0.009468174150532875,16,0.8675388139165913,0.8883206808225939,0.6232352563144744,2.3632556553828925,graph,root-norm,heuristic,True,False,True,0.4818350353339724,0.8173611165050598,0.08671071227383303,0.9238309290082699,0.6859413874790385,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
80,0.15,graph,root-norm,silhouette,blocks.11,layer3,0.007676239941448546,32,0.8549460606305805,0.9337887380088894,0.6849149554862319,1.4786918701973657,graph,root-norm,silhouette,False,True,True,0.6101077560875771,0.44682012811277716,0.2077086508959129,0.558142619970297,0.5344309144181179,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
81,0.15,graph,root-norm,heuristic,blocks.11,layer4,0.01434747906931626,16,0.9792430070406242,0.9421618567258206,0.7987125341401599,3.534100014563836,kmeans,root-norm,heuristic,False,True,False,0.5741633879774235,0.2999160960456091,0.7016863564286849,0.1514283917837963,0.6502081926969329,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
82,0.15,graph,root-norm,heuristic,blocks.11,layer4,0.012343495704789011,16,0.9073167761504423,0.928122927672184,0.9814620925668857,4.95006222585085,kmeans,root-norm,heuristic,False,True,False,0.5944288690355659,0.3303474491103846,0.652411848598424,0.21950649007545742,0.6226303406280277,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
83,0.15,graph,root-norm,heuristic,blocks.11,layer4,0.008588835884074658,16,0.9004907295003992,0.9379227169980487,0.553902444797505,4.524258364461283,kmeans,root-norm,heuristic,False,True,False,0.4520049517709539,0.2506004841015891,0.7684393194491225,0.1047832107510756,0.5830148685386597,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
84,0.15,graph,root-norm,heuristic,blocks.11,layer4,0.013573287733175985,16,0.961619576733528,0.92430072591286,0.7227842517554984,3.294246134896611,kmeans,root-norm,heuristic,False,True,False,0.6663113471040838,0.6562951553788923,0.5225127950467505,0.6361825554304146,0.04273318697300696,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
85,0.15,graph,root-norm,heuristic,blocks.7,layer2,0.014901965736206217,16,0.9899006529382531,0.9450958227655735,1.753641036492539,4.724788470099587,kmeans,root-norm,heuristic,False,True,False,0.7194859263362672,0.504080756210251,0.9028547013002699,0.7627787092735075,0.9994146570720279,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
86,0.15,kmeans,l2,heuristic,blocks.11,layer4,0.009055378866171786,16,0.9283216103966062,0.8742723533687914,0.481383653968433,1.235894403431893,graph,l2,silhouette,True,False,True,0.8899478558862054,0.3270282788044896,0.48442189528565816,0.9914342521707206,0.48114623721450883,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
87,0.15,graph,root-norm,silhouette,blocks.11,layer2,0.0071509065455114314,32,0.9215889077936058,0.884374353518162,0.7615369345434639,1.110522277339459,graph,root-norm,heuristic,False,True,False,0.7979409000074189,0.27959609806745256,0.5984250643616986,0.8675168409561861,0.9646434677421842,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
88,0.15,kmeans,l2,silhouette,blocks.7,layer1,0.005664448489198462,16,0.9342294705948714,0.8646437526119728,0.41141176562870546,2.2765635506981203,graph,l2,heuristic,True,False,True,0.6952317052497418,0.38140526171628975,0.12032525821440679,0.5907194466621484,0.7118452405881999,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
89,0.15,graph,l2,heuristic,blocks.11,layer2,0.012788589472701908,16,0.8127732502713798,0.9109435210642697,0.583188951873658,3.026551517116634,kmeans,root-norm,silhouette,False,False,True,0.628158418475193,0.22211062488126224,0.8615362696906533,0.4393125704866028,0.31088527486573325,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
90,0.15,kmeans,root-norm,silhouette,blocks.11,layer3,0.004639322452238935,32,0.9821434204051074,0.9354142563674586,0.5260311410488943,1.6830907909833228,graph,root-norm,heuristic,True,True,False,0.5280086346557107,0.7456741588897059,0.022493527765253714,0.487184932232679,0.8376045446861551,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
91,0.15,kmeans,root-norm,silhouette,blocks.11,layer3,0.0022267481439565318,32,0.8349595315644517,0.9394127948370198,0.6590079034335906,3.157437496501413,kmeans,root-norm,silhouette,True,False,False,0.5059790627522222,0.7178118738227881,0.9342586193427886,0.12792119589292317,0.4597304916107073,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
92,0.15,kmeans,root-norm,silhouette,blocks.11,layer3,0.0033485141798624495,32,0.9616036758849029,0.9299101788221303,1.6347402364916612,3.484917421441285,kmeans,root-norm,silhouette,True,False,False,0.42943909038849726,0.6853817748258677,0.9662872275280464,0.23889535711943155,0.09981346402553493,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
93,0.15,kmeans,root-norm,silhouette,blocks.11,layer3,0.010253245155235555,32,0.8261723976454028,0.8925915647957947,0.6192407675903222,2.756765490218949,kmeans,root-norm,silhouette,True,False,False,0.5512826549305538,0.7779800860884809,0.05285828589933822,0.36224412798132644,0.03989777522905036,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
94,0.15,kmeans,root-norm,silhouette,blocks.11,layer3,0.00304953821003396,32,0.8467330082909666,0.857870480030648,1.4354298054005092,3.975393718669889,kmeans,root-norm,silhouette,True,False,False,0.27414382155313405,0.8811309359052117,0.7992268867642767,0.07469693024684759,0.024960982671864983,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
95,0.15,kmeans,root-norm,heuristic,blocks.7,layer2,0.00146769162669246,32,0.8920028645784737,0.9544291021989595,0.692751742482577,2.9616999822518335,graph,l2,silhouette,False,False,True,0.38866777235098426,0.7634276867252283,0.43203209466719694,0.8252691028164578,0.0011520224225242568,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
96,0.15,graph,l2,silhouette,blocks.11,layer4,0.002451855681180607,16,0.9695432800242745,0.8965615904594094,1.5889098894162481,3.7041996764338503,kmeans,root-norm,silhouette,True,True,False,0.5898686373337312,0.4108753174773497,0.16779086667828708,0.18819668024665673,0.27262551778890404,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
97,0.15,kmeans,l2,silhouette,blocks.11,layer2,0.0035707703045072267,32,0.8403699254551782,0.9489975211500156,0.9106297965988002,4.188965738287008,graph,l2,heuristic,False,False,True,0.4879082348317735,0.6428538954248497,0.6643607460943477,0.7004978593468748,0.3602926546835654,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
98,0.15,kmeans,root-norm,heuristic,blocks.7,layer2,0.00205231243041502,16,0.9398570781682138,0.9004574565544812,1.6865639681391387,2.443995073897183,graph,root-norm,heuristic,True,False,True,0.2960523881516095,0.5309975445443098,0.06719082200028288,0.5220507615228328,0.912742381805718,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
99,0.15,graph,l2,silhouette,blocks.11,layer3,0.008268833659165553,32,0.8341672762454629,0.8785890075822103,1.027218997280574,3.3447808477519807,kmeans,root-norm,silhouette,False,True,False,0.76601731458464,0.7024328417598711,0.3782480603126068,0.957245679751773,0.8675602762510477,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
100,0.15,kmeans,root-norm,heuristic,blocks.11,layer4,0.009711842121131617,16,0.8870469977427909,0.9263335033346554,0.48897818265730336,1.411777580190245,graph,l2,heuristic,True,False,True,0.8571953825573161,0.6199240583559943,0.8501645208083728,0.3054734205588009,0.5929530088030275,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
101,0.15,kmeans,l2,silhouette,blocks.7,layer1,0.007749633910416326,16,0.8028141762472418,0.856971173751538,0.8476782700556791,1.2794168427620014,kmeans,l2,heuristic,False,True,True,0.7955110312582544,0.20348258483463322,0.3101281669516602,0.9434372245389248,0.5355190645933587,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
102,0.15,kmeans,l2,silhouette,blocks.7,layer1,0.0067016404934450505,16,0.9568149967985868,0.9333948903670892,1.0944788614847751,2.1505843721694555,kmeans,l2,heuristic,False,True,True,0.8484698286052864,0.2404957014948801,0.5610821824126854,0.9790763858619059,0.6595375842276465,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
103,0.15,kmeans,l2,silhouette,blocks.7,layer1,0.006493981540504307,16,0.9453653235962263,0.8702226952221178,1.3264797513762254,1.0164709272795733,kmeans,l2,heuristic,False,True,True,0.8298973574588112,0.34480961709460595,0.09364397707372812,0.7453362740949416,0.7671458692649515,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
104,0.15,kmeans,l2,silhouette,blocks.7,layer1,0.006903107775694622,16,0.9134982627391407,0.9207382100857182,0.9762191928882034,1.987975394921391,kmeans,l2,heuristic,False,True,True,0.8133371139832415,0.4837232781747556,0.6187221971991473,0.9025479504315452,0.9435987312270714,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
105,0.15,kmeans,l2,silhouette,blocks.7,layer2,0.011526006377220068,16,0.9682172414263229,0.9145268536904652,0.5975548426374547,1.1081480969050472,graph,l2,heuristic,False,True,True,0.23543048797447594,0.24335493071135716,0.4548741141316279,0.40963071132453166,0.7468702353033639,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
106,0.15,graph,l2,silhouette,blocks.11,layer2,0.008822097499586344,32,0.9893688661948158,0.9413200723772626,0.6383133003962457,1.8150338663137184,graph,root-norm,silhouette,False,False,True,0.6327930024544356,0.26823411749634596,0.02951113894369313,0.3350459128536376,0.5625793498258516,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
107,0.15,kmeans,root-norm,heuristic,blocks.11,layer1,0.011942008444641994,16,0.9497777079699528,0.8891908946747085,0.7773754080295492,1.5484223133427633,kmeans,root-norm,heuristic,True,True,False,0.6591794684037671,0.6714273928500094,0.3543009844971267,0.9652308313765858,0.5124301513557616,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
108,0.15,graph,l2,silhouette,blocks.7,layer4,0.007066764603210068,32,0.8309834412990997,0.962369220281412,1.80207823472333,2.8835066255087667,graph,l2,silhouette,False,False,True,0.33893935686125914,0.584887310486388,0.27039774028528396,0.7797092539002021,0.9734874788581328,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
109,0.15,kmeans,root-norm,silhouette,blocks.11,layer2,0.002839626666572754,16,0.9043152832757063,0.9366335040572672,0.7145210687291349,1.3540273058281822,graph,root-norm,heuristic,True,True,True,0.6105386627181972,0.8162525100677174,0.22006912175169713,0.4496569245449003,0.8961215604665704,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
110,0.15,kmeans,l2,heuristic,blocks.11,layer3,0.005098223050730958,32,0.8986861173594782,0.944272920022892,0.5574552368833698,4.370743540376052,kmeans,l2,heuristic,False,False,False,0.7506984436991334,0.3117164515060308,0.13987385324346271,0.2628393126905285,0.06493392386161362,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
111,0.15,graph,root-norm,silhouette,blocks.7,layer2,0.011043629500788231,16,0.8700970989958059,0.9317081058199289,1.198004449549312,3.103311845641956,graph,l2,heuristic,False,True,True,0.8956789151257585,0.22376632143481925,0.41216066582061683,0.6111664565393804,0.7942498046680188,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
112,0.15,graph,root-norm,silhouette,blocks.7,layer2,0.010730393663372648,16,0.8619074606094641,0.9272684910763255,1.2769305492671534,1.6859883674936194,graph,l2,heuristic,False,True,True,0.5397127327984469,0.28249543758016743,0.36690075660393623,0.6542711149497906,0.6757931532313536,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
113,0.15,graph,root-norm,silhouette,blocks.7,layer2,0.010273878189911916,16,0.882218651385869,0.9785306157925646,1.1399802878137608,2.0866998505545884,graph,l2,heuristic,False,True,True,0.5607476988843615,0.20771804348005113,0.34631264282860946,0.5588651097237204,0.627771624934285,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
114,0.15,graph,root-norm,silhouette,blocks.7,layer2,0.011338232229532135,16,0.853917884323367,0.9834641538392161,1.2272358973684747,2.2670193777926677,graph,l2,heuristic,False,True,True,0.784158439668432,0.23025055706304068,0.2956886280466623,0.4816524876672102,0.7103633128914449,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
