number,value,params_dino_pipeline.clustering.clusterer.method,params_dino_pipeline.clustering.clusterer.n_neighbors,params_dino_pipeline.clustering.feature_processing.normalizer.method,params_dino_pipeline.clustering.feature_processing.reducer.method,params_dino_pipeline.clustering.feature_processing.reducer.n_components,params_dino_pipeline.clustering.feature_processing.run_normalization,params_dino_pipeline.clustering.feature_processing.run_reduction,params_dino_pipeline.clustering.k_selection.method,params_extractors.clip.layer_name,params_extractors.clip.model_name,params_extractors.dino_v2.layer_name,params_extractors.dino_v2.model_name,params_extractors.resnet.layer_name,params_extractors.resnet.model_name,params_fusion_pipeline.clustering.k_selection.k_source,params_heuristic_settings.filter_params.filter_min_area_perc,params_heuristic_settings.filter_params.nms_iou_threshold,params_heuristic_settings.filter_params.use_nms,params_heuristic_settings.generator_params.min_mask_region_area,params_heuristic_settings.generator_params.points_per_side,params_heuristic_settings.generator_params.pred_iou_thresh,params_heuristic_settings.generator_params.stability_score_thresh,params_heuristic_settings.k_heuristic_formulas.max_k,params_heuristic_settings.k_heuristic_formulas.semantic_base,params_heuristic_settings.k_heuristic_formulas.semantic_scale_factor,params_heuristic_settings.k_heuristic_formulas.structural_multiplier,params_heuristic_settings.sam_model,params_labeler.aggregation_method,params_labeler.aggregation_top_k_perc,params_labeler.top_n_labels,params_resnet_pipeline.clustering.clusterer.method,params_resnet_pipeline.clustering.clusterer.n_neighbors,params_resnet_pipeline.clustering.feature_processing.normalizer.method,params_resnet_pipeline.clustering.feature_processing.reducer.method,params_resnet_pipeline.clustering.feature_processing.reducer.n_components,params_resnet_pipeline.clustering.feature_processing.run_normalization,params_resnet_pipeline.clustering.feature_processing.run_reduction,params_resnet_pipeline.clustering.k_selection.method,params_resnet_pipeline.image_preprocessing.blur_kernel_size,params_resnet_pipeline.image_preprocessing.clahe_clip_limit,params_resnet_pipeline.image_preprocessing.sobel_kernel_size,params_resnet_pipeline.image_preprocessing.use_clahe,params_resnet_pipeline.image_preprocessing.use_gaussian_blur,params_resnet_pipeline.image_preprocessing.use_grayscale,params_resnet_pipeline.image_preprocessing.use_sobel_edges,params_run_dino_pipeline,params_run_fusion_pipeline,params_run_resnet_pipeline,params_validator_settings.final_threshold,params_validator_settings.semantic_threshold,params_validator_settings.structural_threshold,params_validator_settings.weights.clip_confidence,params_validator_settings.weights.dino_iou,params_validator_settings.weights.resnet_iou,state,user_attrs_error,user_attrs_max_clip_confidence,user_attrs_num_correct_segments
162,0.0,graph,27,z-score,pca,46,False,True,heuristic,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,conv1,resnet50,semantic,0.00978477203675111,0.7792524723812304,True,50,32,0.9692618059502026,0.9583135231109264,24,3,1.079140415859285,2.471360396556822,facebook/sam2-hiera-large,top_k_mean,0.32943836243782265,5,kmeans,17,root-norm,pca,29,False,False,heuristic,3.0,3.2062146060350365,3,True,True,False,True,True,False,False,0.564242257885015,0.591961186034781,0.5705337706231304,0.9635448472356509,0.9573277642460388,0.0011660932723751155,COMPLETE,,0.0,0.0
163,0.0,graph,30,z-score,pca,45,False,True,heuristic,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,conv1,resnet50,semantic,0.009601926409706677,0.7700390524949821,True,50,32,0.9336174787470336,0.9552890678939563,24,3,1.0324129530347488,2.4015079872201306,facebook/sam2-hiera-large,top_k_mean,0.4871868803243115,5,kmeans,29,root-norm,pca,32,False,False,heuristic,3.0,2.451065933839685,3,True,True,False,True,True,False,False,0.5251793720731445,0.6355345857435842,0.6981898699749713,0.9760869201620185,0.9969825783609007,0.22771573306235793,COMPLETE,,0.0,0.0
164,0.0,graph,29,z-score,pca,43,False,True,heuristic,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,conv1,resnet50,semantic,0.009880246710016279,0.7527509411568085,True,50,32,0.8128670824787397,0.9601988416965498,25,2,0.6632788085325004,2.5437939054199856,facebook/sam2-hiera-large,top_k_mean,0.3512262206767672,5,kmeans,27,root-norm,pca,33,False,False,heuristic,3.0,2.5864129692738467,3,True,True,False,True,True,False,False,0.5119701618259361,0.5847323190772631,0.5441463194316657,0.9050290494659996,0.9708535330341823,0.2474581108317763,COMPLETE,,0.0,0.0
165,0.0,graph,28,z-score,pca,50,False,True,heuristic,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,conv1,resnet50,semantic,0.009505810403753197,0.6836214448587897,True,50,32,0.9549556839683255,0.9512971293492026,25,4,1.001100255983969,1.5828512887461057,facebook/sam2-hiera-large,top_k_mean,0.3341918325893643,5,kmeans,26,root-norm,pca,30,False,False,heuristic,3.0,3.671136448437806,3,True,True,False,True,True,False,False,0.6850707180809757,0.5747899764230749,0.5578009162923911,0.9416105165810763,0.9130777456602516,0.3486131401301156,COMPLETE,,0.0,0.0
166,0.0,kmeans,39,z-score,pca,47,False,True,heuristic,transformer.resblocks.9,ViT-B/32,blocks.4,dinov2_vitb14,conv1,resnet50,semantic,0.009324687947127252,0.789723372368275,True,50,8,0.8421756466158479,0.9329358229643722,26,3,1.1776631762393899,2.201260751911917,facebook/sam2-hiera-large,top_k_mean,0.3981848821073957,3,spectral,29,root-norm,umap,27,False,False,heuristic,,4.137880717780767,3,True,False,False,True,True,False,True,0.5113721762903134,0.6097961130582249,0.41727990221263733,0.39568941865793683,0.7732206144031023,0.2650091324727565,COMPLETE,,0.0,0.0
167,0.0,graph,33,root-norm,svd,37,True,False,silhouette,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,layer2,resnet50,structural,0.007202816185885968,0.8080419918619186,True,100,16,0.9086552153576476,0.9145317285672476,23,2,1.0972210258488027,2.269344544929837,facebook/sam2-hiera-large,median,0.3064183867078799,5,graph,21,z-score,pca,18,True,True,heuristic,5.0,2.835084406192408,3,True,True,True,True,True,True,False,0.6979071430295261,0.5995124090978302,0.4588361314374689,0.0975310403619118,0.22002389936696015,0.7579494694238583,COMPLETE,,0.0,0.0
168,0.0,graph,36,z-score,pca,25,False,True,heuristic,transformer.resblocks.9,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.009068427663290484,0.7406326071815436,False,50,32,0.8209526443109955,0.9560415980005904,30,4,0.5248855730067,2.345421757399824,facebook/sam2-hiera-large,mean,0.17028128249853783,3,kmeans,14,root-norm,pca,41,False,False,silhouette,3.0,2.3943586651390283,5,True,True,False,True,False,False,False,0.7980702730805466,0.6278145611174605,0.5132766461757339,0.9906259198283298,0.30376553605573875,0.2960285221360971,COMPLETE,,0.0,0.0
169,0.0,spectral,35,l2,umap,39,True,True,silhouette,transformer.resblocks.10,ViT-B/32,blocks.11,dinov2_vitb14,layer3,resnet50,semantic,0.002029953282571513,0.7613952468756611,True,200,8,0.961620530365666,0.9636035869417093,26,3,1.016417351740432,2.6943420141783534,facebook/sam2-hiera-large,top_k_mean,0.11103075541816397,5,graph,23,l2,svd,59,True,False,heuristic,,1.168816162636599,3,False,False,False,True,True,True,True,0.504651074596352,0.5326706733326642,0.5356610510832925,0.7010785464079838,0.9546021221326634,0.785496558258626,COMPLETE,,0.0,0.0
170,0.0,graph,17,z-score,pca,22,False,False,heuristic,transformer.resblocks.11,ViT-B/32,blocks.4,dinov2_vitb14,conv1,resnet50,semantic,0.004252990476329274,0.8149496495928175,False,50,32,0.9149879380839139,0.9301276113265681,16,4,1.0571121315687417,2.754793946406135,facebook/sam2-hiera-large,median,0.3701476646028712,5,kmeans,25,z-score,umap,46,False,True,heuristic,3.0,4.785305094919822,3,True,True,True,False,False,False,False,0.6421310789884133,0.7385139415040106,0.6409583426045775,0.8952710707715352,0.14340986396991598,0.5103066827680365,COMPLETE,,0.0,0.0
171,0.0,kmeans,29,z-score,svd,44,True,True,silhouette,transformer.resblocks.9,ViT-B/32,blocks.7,dinov2_vitb14,layer1,resnet50,structural,0.009951885917032872,0.7311688960244588,True,50,8,0.9767830740194753,0.9276349147740526,17,2,1.13836073952462,2.9397867125512698,facebook/sam2-hiera-large,top_k_mean,0.21792395944580475,3,spectral,10,root-norm,pca,31,True,False,silhouette,3.0,2.070645018967857,5,True,True,False,True,True,True,False,0.7206271588972827,0.4032425004234897,0.6191608235724643,0.5222395695083406,0.9842034632475933,0.7203751375815411,COMPLETE,,0.0,0.0
172,0.0,graph,38,z-score,umap,33,True,True,silhouette,transformer.resblocks.9,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.006569110999035721,0.6498165991980699,False,50,32,0.8954410189397863,0.9368586279426393,29,4,0.7644328244793921,2.109860821956712,facebook/sam2-hiera-large,median,0.22557139356236408,5,kmeans,16,z-score,umap,38,True,False,heuristic,3.0,3.00404761706281,3,True,True,True,True,False,True,False,0.7263018051605702,0.697360891801869,0.49000806346144704,0.7917811102149166,0.5329237326810046,0.9987179021653709,COMPLETE,,0.0,0.0
173,0.0,graph,37,z-score,umap,36,True,True,silhouette,transformer.resblocks.9,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.006883522393440957,0.6287555466385568,False,50,32,0.8915781884843863,0.9616693575776192,28,4,0.7897369680322567,1.7891208425033842,facebook/sam2-hiera-large,median,0.2710821066928828,5,kmeans,15,z-score,umap,37,True,False,heuristic,3.0,2.2729863496168523,3,True,True,True,True,False,True,False,0.7319785791553387,0.6814996255531146,0.46914872819284126,0.737446179274014,0.49098922803805106,0.596133796432669,COMPLETE,,0.0,0.0
